"school_oblast","region_key","Vinnytsya","Volyn","Dnipropetrovs'k","Donets'k","Zhytomyr","Transcarpathia","Zaporizhzhya","Ivano-Frankivs'k","Kiev","Kirovohrad","Luhans'k","L'viv","Kiev City","Mykolayiv","Odessa","Poltava","Rivne","Sumy","Ternopil","Kharkiv","Kherson","Khmel'nyts'kyy","Cherkasy","Chernivtsi","Chernihiv","Crimea","Sevastopol","native","else","type","ratio_out"
"Крим","Crimea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"selo","0"
"Вінницька область","Vinnytsya","63.6585365853659","0","0","0","1.51219512195122","0","0","0","1.60975609756098","0","0","3.5609756097561","15.4634146341463","0","4.78048780487805","0","0","0","0","0","0","0","4.73170731707317","0","0",0,0,1305,745,"selo","38,03"
"Волинська область","Volyn","0","50.5102040816327","0","0","0","0","0","0","2.86989795918367","0","0","10.0765306122449","16.7729591836735","0","0","0","8.48214285714286","0","4.40051020408163","0","0","0","0","0","0",0,0,792,776,"selo","53,25"
"Дніпропетровська область","Dnipropetrovs'k","0","0","70.9388971684054","0","0","0","9.01639344262295","0","0","0","0","0","5.58867362146051","0","0","2.83159463487332","0","0","0","5.88673621460507","0","0","0","0","0",0,0,952,390,"selo","32,71"
"Донецька область","Donets'k","0","0","7.5512405609493","35.7065803667745","0","0","8.84573894282632","0","0","0","0","0","10.6796116504854","0","0","0","0","0","0","29.7734627831715","0","0","0","0","0",0,0,256,566,"selo","63,05"
"Житомирська область","Zhytomyr","3.9804469273743","0","0","0","49.231843575419","0","0","0","4.74860335195531","0","0","3.49162011173184","29.9581005586592","0","0","0","2.86312849162011","0","0","0","0","1.53631284916201","0","0","0",0,0,705,727,"selo","55,79"
"Закарпатська область","Transcarpathia","0","0","0","0","0","60.828025477707","0","9.15605095541401","0","0","0","13.7738853503185","4.69745222929936","0","0","0","4.93630573248408","0","1.8312101910828","0","0","0","0","1.67197452229299","0",0,0,764,492,"selo","36,32"
"Запорізька область","Zaporizhzhya","0","0","8.29655781112092","0","0","0","74.6690203000883","0","0","0","0","0","6.61959399823477","0","0","0","0","0","0","6.26654898499559","0","0","0","0","0",0,0,846,287,"selo","36,60"
"Івано-франківська область","Ivano-Frankivs'k","0","0","0","0","0","0","0","67.0710571923744","0","0","0","13.5181975736568","4.15944540727903","0","0","0","0","0","1.55979202772964","0","0","0","0","9.93645291738879","0",0,0,1161,570,"selo","37,49"
"Київська область","Kiev","0","0","0","0","0","0","0","0","13.599568267674","0","0","0","79.6006475984889","0","0","0","0","0","0","0","0","0","1.8348623853211","0","0",0,0,1727,126,"selo","8,07"
"Кіровоградська область","Kirovohrad","1.9501625135428","0","9.20910075839653","0","0","0","0","0","1.84182015167931","31.3109425785482","0","0","16.7930660888407","2.8169014084507","5.7421451787649","5.7421451787649","0","0","0","2.92524377031419","0","0","17.0097508125677","0","0",0,0,289,634,"selo","66,98"
"Луганська область","Luhans'k","0","0","0","0","0","0","0","0","0","0","50.8928571428571","0","7.14285714285714","0","1.91326530612245","0","0","0","0","33.0357142857143","0","0","0","0","0",0,0,229,385,"selo","56,08"
"Львівська область","L'viv","0","0","0","0","0","1.82481751824818","0","2.67639902676399","0","0","0","86.3341443633414","2.51419302514193","0","0","0","0","0","2.67639902676399","0","0","0","0","0","0",0,0,2129,337,"selo","13,55"
"Київ","Kiev City",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"selo","4,59"
