"school_oblast","region_key","Vinnytsya","Volyn","Dnipropetrovs'k","Donets'k","Zhytomyr","Transcarpathia","Zaporizhzhya","Ivano-Frankivs'k","Kiev","Kirovohrad","Luhans'k","L'viv","Kiev City","Mykolayiv","Odessa","Poltava","Rivne","Sumy","Ternopil","Kharkiv","Kherson","Khmel'nyts'kyy","Cherkasy","Chernivtsi","Chernihiv","Crimea","Sevastopol","else","native","type"
"автономна республіка крим","Crimea",3.33333333333333,0,3.33333333333333,3.33333333333333,0,0,3.33333333333333,0,3.33333333333333,6.66666666666667,0,3.33333333333333,33.3333333333333,6.66666666666667,3.33333333333333,0,0,0,0,10,13.3333333333333,3.33333333333333,3.33333333333333,0,0,0,0,31,0,"misto"
"вінницька область","Vinnytsya",61.7973959987298,0.095268339155287,0.222292791362337,0.031756113051763,0.666878374087012,0.031756113051763,0,0.285805017465862,1.17497618291521,0.063512226103525,0.095268339155287,4.95395363607494,20.1651317878692,0.12702445220705,3.84248967926326,0.095268339155287,0.412829469672912,0.031756113051763,0.349317243569387,0.762146713242299,0.063512226103525,1.20673229596697,2.7945379485551,0.666878374087012,0.063512226103525,0,0,1202,1944,"misto"
"волинська область","Volyn",1.41815235008104,39.1004862236629,0.364667747163695,0.243111831442464,2.18800648298217,0.324149108589951,0,1.0129659643436,1.37763371150729,0.081037277147488,0.081037277147488,15.8833063209076,25.9724473257699,0,1.45867098865478,0.243111831442464,4.90275526742301,0.081037277147488,2.35008103727715,0.972447325769854,0,0.769854132901134,0.081037277147488,0.769854132901134,0.324149108589951,0,0,1503,965,"misto"
"дніпропетровська область","Dnipropetrovs'k",0.136184120931499,0.0272368241863,70.1756775160016,0.163420945117799,0.0544736483726,0.0544736483726,4.60302328748468,0.122565708838349,0.285986653956149,0.136184120931499,0.01361841209315,1.42993326978074,12.6515048345363,0.06809206046575,1.26651232466294,0.558354895819147,0.108947296745199,0.0544736483726,0.0272368241863,7.44927141495302,0.163420945117799,0.0544736483726,0.177039357210949,0.0817104725589,0.136184120931499,0,0,2195,5154,"misto"
"донецька область","Donets'k",0.900423728813559,0.052966101694915,5.84392655367232,36.228813559322,0.035310734463277,0.088276836158192,3.19562146892655,0.105932203389831,0.423728813559322,0.035310734463277,0.829802259887006,1.3771186440678,16.5607344632768,0.141242937853107,2.0656779661017,0.512005649717514,0.070621468926554,0.211864406779661,0.070621468926554,30.4731638418079,0.388418079096045,0.105932203389831,0.123587570621469,0.035310734463277,0.123587570621469,0,0,3612,2055,"misto"
"житомирська область","Zhytomyr",5.66502463054187,0.082101806239737,0.082101806239737,0.082101806239737,43.431855500821,0.246305418719212,0.082101806239737,0.492610837438424,2.38095238095238,0.041050903119869,0,3.07881773399015,37.5615763546798,0.123152709359606,1.4367816091954,0.164203612479475,1.19047619047619,0.328407224958949,0.533661740558292,1.39573070607553,0.041050903119869,0.533661740558292,0.205254515599343,0.697865353037767,0.123152709359606,0,0,1378,1060,"misto"
"закарпатська область","Transcarpathia",0.684505289359054,0.062227753578096,0.435594275046671,0,0,65.4013690105787,0.124455507156192,2.61356565028002,0.124455507156192,0.062227753578096,0.062227753578096,19.3528313627878,6.65836963285625,0,0.684505289359054,0.124455507156192,0.497822028624767,0,0.74673304293715,0.373366521468575,0,0.435594275046671,0,1.4934660858743,0.062227753578096,0,0,556,1047,"misto"
"запорізька область","Zaporizhzhya",0.129505719835959,0.021584286639327,7.72717461687891,0.323764299589899,0.043168573278653,0.043168573278653,60.4575868767537,0.06475285991798,0.215842866393266,0.043168573278653,0.06475285991798,1.61882149794949,14.5909777681848,0.107921433196633,1.85624865098209,0.323764299589899,0.021584286639327,0.086337146557306,0.06475285991798,11.2669976257285,0.453270019425858,0.086337146557306,0.021584286639327,0.215842866393266,0.151090006475286,0,0,1832,2801,"misto"
"івано-франківська область","Ivano-Frankivs'k",0.296233601354211,0.084638171815489,0.084638171815489,0,0.042319085907744,0.211595429538722,0.126957257723233,58.4003385526873,0.169276343630978,0,0.042319085907744,23.1908590774439,8.59077443927211,0,1.31189166314008,0,0.084638171815489,0.042319085907744,1.56580617858654,0.592467202708421,0.042319085907744,0.423190859077444,0,4.65509944985188,0.042319085907744,0,0,1035,1381,"misto"
"київська область","Kiev",0.789473684210526,0,0.263157894736842,0,0.263157894736842,0.263157894736842,0,5.78947368421053,22.6315789473684,0,0,7.63157894736842,50.2631578947368,0,0.789473684210526,0,0.526315789473684,0.263157894736842,6.05263157894737,0.526315789473684,0,1.05263157894737,0.789473684210526,1.84210526315789,0.263157894736842,0,0,103,276,"misto"
"кіровоградська область","Kirovohrad",0.675523530736321,0.022517451024544,33.9112812429633,0.698040981760865,0.045034902049088,0.090069804098176,3.12992569241162,0.22517451024544,0.675523530736321,16.0549425804999,0.067552353073632,3.51272235982887,22.6750731817158,0.810628236883585,5.02139157847332,1.75636117991443,0.157622157171808,0.11258725512272,0.11258725512272,6.25985138482324,0.22517451024544,0.202657059220896,3.0173384372889,0.405314118441792,0.135104706147264,0,0,3721,713,"misto"
"луганська область","Luhans'k",0.097847358121331,0,1.2720156555773,1.61448140900196,0.146771037181996,0.097847358121331,0.587084148727984,0.097847358121331,0.831702544031311,0.048923679060665,40.3620352250489,1.17416829745597,11.4970645792564,0.293542074363992,1.51663405088063,0.880626223091976,0,0.489236790606654,0.097847358121331,38.307240704501,0.146771037181996,0.195694716242661,0.048923679060665,0.048923679060665,0.146771037181996,0,0,1188,815,"misto"
"львівська область","L'viv",0.321543408360129,0.740947854047253,0.069900740947854,0.055920592758283,0.083880889137425,0.740947854047253,0.041940444568712,2.39060534041661,0.153781630085279,0.027960296379142,0.027960296379142,86.4672165524955,4.57150845798965,0.027960296379142,0.461344890255837,0.013980148189571,0.51726548301412,0.013980148189571,2.19488326576262,0.307563260170558,0.013980148189571,0.293583111980987,0.055920592758283,0.391444149307983,0.013980148189571,0,0,969,6190,"misto"
"м.київ","Kiev City",0.471242831999092,0.011355248963834,0.107874865156419,0.090841991710668,0.158973485493669,0.062453869301084,0.079486742746835,0.056776244819168,3.09430534264464,0.124907738602169,0.034065746891501,0.925452790552433,92.0342928518708,0.068131493783001,0.840288423323681,0.130585363084086,0.068131493783001,0.056776244819168,0.062453869301084,0.686992562311929,0.039743371373417,0.107874865156419,0.272525975132005,0.107874865156419,0.306591722023505,0,0,1440,16221,"misto"
"миколаївська область","Mykolayiv",0.868252170630427,0,1.17025292563231,0.113250283125708,0,0,1.01925254813137,0.151000377500944,0.604001510003775,0.302000755001887,0.037750094375236,2.60475651189128,16.8742921857305,53.4918837297093,14.1562853907135,0.566251415628539,0.075500188750472,0.075500188750472,0.151000377500944,3.92600981502454,2.03850509626274,0.075500188750472,1.43450358625897,0.113250283125708,0.151000377500944,0,0,1232,1417,"misto"
"одеська область","Odessa",0.606840750275837,0.018389113644722,0.275836704670835,0.055167340934167,0.110334681868334,0.036778227289445,0.220669363736668,0.055167340934167,0.128723795513056,0.055167340934167,0.073556454578889,0.864288341301949,7.63148216255976,0.625229863920559,86.7598381757999,0.147112909157779,0.091945568223612,0.055167340934167,0.055167340934167,0.993012136815006,0.349393159249724,0.073556454578889,0.459727841118058,0.220669363736668,0.036778227289445,0,0,721,4719,"misto"
"полтавська область","Poltava",0.226171243941842,0,3.23101777059774,0.064620355411955,0.161550888529887,0.064620355411955,0.387722132471729,0.323101777059774,0.516962843295638,0.549273021001615,1.0016155088853,1.84168012924071,27.8190630048465,0.032310177705977,1.03392568659128,44.8788368336026,0.064620355411955,0.775444264943457,0.032310177705977,15.735056542811,0.032310177705977,0.096930533117932,0.74313408723748,0.096930533117932,0.290791599353796,0,0,1705,1389,"misto"
"рівненська область","Rivne",1.16959064327485,5.35312640575798,0.224921277552856,0.089968511021143,0.899685110211426,0.35987404408457,0,0.809716599190283,1.21457489878543,0,0.179937022042285,15.8344579397211,27.4853801169591,0,1.52946468735942,0.089968511021143,37.0220422852002,0.089968511021143,4.40845704003599,1.16959064327485,0.044984255510571,0.809716599190283,0.044984255510571,0.944669365721997,0.224921277552856,0,0,1400,823,"misto"
"севастополь","Sevastopol",0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"misto"
"сумська область","Sumy",0.389932647997164,0,0.389932647997164,0.070896845090394,0,0,0.10634526763559,0.070896845090394,0.708968450903935,0,0,1.80786954980503,31.4427507975895,0.070896845090394,1.02800425381071,1.87876639489543,0.070896845090394,45.6221198156682,0.035448422545197,14.8528890464374,0,0.035448422545197,0.248138957816377,0.141793690180787,1.02800425381071,0,0,1534,1287,"misto"
"тернопільська область","Ternopil",0.602409638554217,0.451807228915663,0.100401606425703,0,0,0.100401606425703,0.150602409638554,3.86546184738956,0.602409638554217,0,0.050200803212851,18.4738955823293,11.0943775100402,0,0.70281124497992,0,1.7570281124498,0,55.5722891566265,0.552208835341365,0,1.9578313253012,0.200803212851406,3.714859437751,0.050200803212851,0,0,871,1079,"misto"
"харківська область","Kharkiv",0.036536353671904,0.012178784557301,0.30446961393253,0.255754475703325,0.024357569114602,0.024357569114602,0.133966630130313,0.085251491901108,0.097430276458409,0.024357569114602,0.450615028620144,0.401899890390939,2.60625989526245,0.012178784557301,0.146145414687614,0.328827183047132,0,0.073072707343807,0.024357569114602,94.7753014249178,0.024357569114602,0,0.036536353671904,0.012178784557301,0.109609061015711,0,0,429,7782,"misto"
"херсонська область","Kherson",0.533980582524272,0.048543689320388,2.96116504854369,0.242718446601942,0.097087378640777,0.048543689320388,3.64077669902913,0.194174757281553,0.728155339805825,0.29126213592233,0.242718446601942,4.66019417475728,23.0097087378641,3.44660194174757,7.33009708737864,0.339805825242718,0.388349514563107,0.097087378640777,0.097087378640777,6.21359223300971,44.5631067961165,0.145631067961165,0.242718446601942,0.29126213592233,0.097087378640777,0,0,1142,919,"misto"
"хмельницька область","Khmel'nyts'kyy",7.38396624472574,0.241109101868596,0.090415913200723,0.090415913200723,1.44665461121157,0.150693188667872,0.060277275467149,0.753465943339361,0.904159132007233,0.030138637733574,0.241109101868596,12.1157323688969,27.8481012658228,0.150693188667872,3.55635925256178,0.150693188667872,4.33996383363472,0,3.01386377335744,0.663050030138638,0.030138637733574,31.9168173598553,0.150693188667872,4.64135021097046,0.030138637733574,0,0,2259,1059,"misto"
"черкаська область","Cherkasy",2.67919276270007,0.069589422407794,1.00904662491301,0.069589422407794,0.104384133611691,0.104384133611691,0.626304801670146,0.104384133611691,2.15727209464161,0.278357689631176,0.034794711203897,3.72303409881698,40.6402226861517,0.104384133611691,4.00139178844816,1.07863604732081,0.278357689631176,0,0.278357689631176,1.98329853862213,0.139178844815588,0.208768267223382,39.7007654836465,0.452331245650661,0.173973556019485,0,0,1733,1141,"misto"
"чернівецька область","Chernivtsi",2.4390243902439,0,1.67682926829268,0.152439024390244,0.228658536585366,0.228658536585366,0.228658536585366,0.457317073170732,0.457317073170732,0.076219512195122,0.152439024390244,5.41158536585366,8.84146341463415,0.152439024390244,1.06707317073171,0,0,0,0.228658536585366,0.304878048780488,0,2.13414634146341,0.076219512195122,75.609756097561,0.076219512195122,0,0,319,986,"misto"
